text,label
thabal,1
hjhj m3alem y,1
يا سيدي علي عيشوشه واله تمثل مليح وتمثيلها مقنع,1
wsa5 tones,0
7lowa,1
امنه تصلح وزيره مراه عالاقل تعطي منظر باهي لتونس تبارك اله وهره و ريشه ,1
bravo,1
حنان الشقراني احسن,1
m3alm,1
بري روحي,0
معلم يا لطفي,1
طاقه صوتيه و صدق مشاعر,1
h yeser ta7fona 9talni tho7k,1
mamstik au moins eli keno chedin wizra keno tiba w mohandsin ith7ak 3ala ro7ek w pr critiquer persone 7awel ta7ki bi oslob mit7athar,0
ماسط ماسط,0
معلم كافون ,1
حبيبي منور و موهر,1
اله يشفيك ويفرجها عليك يا رب,1
درتوا العار يا قناه الحوار مع هاليهودي مداهنه واضحه ليهوديه وما تستغربوش شباب جاهله توانسه يتعدوا لداعش من التبغديد ,0
maset laset mayefhem fi 7ata chay o nahdhai mchala9 3la ro7o,0
brabi tsami fi ro7ha momathla n7eb nes2lha win mathlet w ela 3la tleth adwar fachlin kifha radet ro7ha momathla w ta7ki 3la ahmed landolsi nsi7a t7el hanot mlewi 5ir etamthil mech mt3ek w barbi la3ad t9olo 3lha momthla 5ater artiste kima 9alt hiya avec un grand a mech mte3 enes eli kifek w kima 9al karim rahi t8idh rahi tbaki wa7da kifek t7seb ro7ha artiste,0
bravo chab3a dhahek,1
masta lasta ,0
ma5ibek,0
kil 3ada w kima mara inti ili tha7akna,1
3,1
raw3a,1
bravo m jalol,1
baya ezardi m3alma te3jebni bel hak,1
ma7leha ta feme yasin,1
tayara,1
وحدك يا سامي في الاخراج تبارك اله,1
bravo,1
h yesir blida,0
mtkhalif nes win wislit w fech 9a3da tasna3 w nes fin raj3a hata ili 3mlo haka 9bal rabi msa7hm m denia ti hata lhayawanat mysirch fe,0
brabi la 3ad tjiboh hal ham ywater,0
bravo,1
bravo,1
oi 3ajntni barcha barvo,1
tbrklh 3leha rim rye7i w ena men akther enes ely en7ebha 3ala 5terha momathla yeser ta7fona w zid adwarha elkol ye3jboni alah wahad 3lik ya roro zeyed m3ak w7dek el7asilo w rani nestana fi mosalslik ejdid w nchaj3ek w bravo 3,1
bravo bravo,1
بكل صراحه الكلمه الي قلتها عيب و متجيش انت تحكي عالثقافه والفكر و هذا تصرف مش متع انسان مثقف و محترم مع الاسف انت محترمتش المشاهد لو تحب ترجع اعتبارك تعتذر من المشاهدين ,0
صدقني لا نهظمك,0
h mala jaw ,1
عسل,1
اسقط و انذل تونسي يدعي التمثيل و الانسانيه و بداخله كره و حقد ايديلوجي اعمي,0
ya5o fi faset mel facebok w y3awed fahom rak maset rak laset,0
فضحتنا في تونس والخبزه بالحق مره,0
مسلسل تافه و شعب اتفه,0
تبركاله علاها منوره الحلقه فتانه حلوه رزينه انيقه علي كل تونس بنسها يا امونه ,1
m3alma,1
m3alem,1
mamsatha ,0
bravo,1
najla tfaraj fiha wahdek mala achkel wjoh loh jeyebhm,0
machalah 3aliha,1
يا بو صلعه محلالالالالالاك ومحله ضحكتك,1
اف,0
تبارك اله عليها مبدعه,1
sami el fehri berasmi 5raj mel 7abs mo5o fased,0
راك معلم يا شكيب,1
ربي يفضلك وليد,1
bravo bravo,1
ساقط ادافع علي امريكا وقطر وتركيا الي امولو في داعش,0
mskina,0
walahi latihchem,0
h ma7lekom,1
3ejbetni,1
واحد طحان مجرم هالرحموني الطحان واحد قليل حياء وقليل رجله لغنه اله عليك وعلي كل قاضي فاسد كيفك,0
rajel walah ya3tih alf sa7a bravo,1
تحياتي لهاته الاستاذهتحياتي لهاته الاستاذهتحياتي لهاته الاستاذهتحياتي لهاته الاستاذهتحياتي لهاته الاستاذه bel 9wi zada,1
oh mamastak mana7amloch jemla al fan 3ando neso y weldi mala cha3ar 9ol 9anfod 9amek 9ari,0
maset laset,0
tfoh 3ar5is,0
bravo bendir man,1
ya weldi zayed elwahra wahra,1
